1,w,sub_t,h,l1,l2,l3,g1,g2,Freq,S11_re,S21_re,S11_img,S21_img,S11_dB,S21_dB
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.5,0.894001800089463,-0.00793385321755905,0.433854522580788,0.00942165686502851,-0.054765,-38.189754
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.5025,0.8912173262292652,-0.008114854321636163,0.4394098258024261,0.009499064784659478,-0.055292,-38.066441
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.505,0.8883863997042472,-0.008299550263845847,0.4449687015171036,0.009576536619164008,-0.055827,-37.942745
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.5075,0.8855085463792581,-0.008488026406575836,0.4505310112269109,0.009654053374971978,-0.056373,-37.818655
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.51,0.8825832833835355,-0.00868037060571304,0.4560966117547853,0.009731595070133662,-0.056928,-37.694163
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.5125,0.8796101189144409,-0.00887667329898607,0.4616653550703755,0.009809140684496854,-0.057494,-37.569258
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.515,0.8765885520357156,-0.009077027597962027,0.4672370881092136,0.009886668107201513,-0.05807,-37.443931
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.5175,0.8735180724700692,-0.009281529383871005,0.4728116525848871,0.009964154081333327,-0.058656,-37.318173
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.52,0.8703981603858818,-0.009490277407442807,0.47838888479391645,0.01004157414556845,-0.059254,-37.191973
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.5225,0.8672282861778201,-0.009703373392947088,0.48396861541298863,0.010118902572628695,-0.059863,-37.065322
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.525,0.8640079102411269,-0.00992092214664275,0.48955066928822366,0.010196112304356679,-0.060484,-36.938208
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.5275,0.860736482739356,-0.010143031669849742,0.49513486521610595,0.010273174883206245,-0.061117,-36.810622
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.53,0.8574134433653041,-0.010369813276870952,0.5007210157156906,0.010350060379929804,-0.061762,-36.682554
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.5325,0.8540382210948766,-0.010601381718002529,0.5063089267916899,0.010426737317230993,-0.06242,-36.553992
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.535,0.850610233933619,-0.010837855307886425,0.5118983976880189,0.010503172589133166,-0.063091,-36.424925
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.5375,0.8471288886556259,-0.011079356059470425,0.5174892206313384,0.01057933137579909,-0.063775,-36.295343
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.54,0.843593580534531,-0.011326009823858677,0.5230811805641357,0.010655177053517548,-0.064474,-36.165234
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.5425,0.8400036930662554,-0.011577946436349648,0.5286740548668368,0.010730671099554105,-0.065186,-36.034587
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.545,0.8363585976831935,-0.011835299868976877,0.5342676130684252,0.010805772991541132,-0.065913,-35.903389
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.5475,0.8326576534594835,-0.0120982083898844,0.5398616165449983,0.010880440101060148,-0.066655,-35.77163
11.185,2.0,1.0,1.0,33.0,33.6,33.6,2.3,2.3,2.55,0.828900206806992,-0.012366814729890251,0.5454558182056902,0.010954627581044122,-0.067412,-35.639297
